pref,jpkanji,Simplified,kind,hira,Alphabet,Pinyin,latitude,longitude
北海道,札幌,札幌,市,さっぽろ,Sapporo,Zha huang,,
青森県,青森,青森,市,あおもり,Aomori,Qing sen,,
岩手県,盛岡,盛冈,市,もりおか,Morioka,Sheng gang,,
宮城県,仙台,仙台,市,せんだい,Sendai,Xian tai,,
秋田県,秋田,秋田,市,あきた,Akita,Qiu tian,,
山形県,山形,山形,市,やまがた,Yamagata,Shan xing,,
福島県,福島,福岛,市,ふくしま,Fukushima,Fu dao,,
茨城県,水戸,水户,市,みと,Mito,Shui fu,,
栃木県,宇都宮,宇都宫,市,うつのみや,Utsunomiya,Yu dou gong,,
群馬県,前橋,前桥,市,まえばし,Maebashi,,,
埼玉県,さいたま,埼玉,市,さいたま,Saitama,,,
千葉県,千葉,千叶,市,ちば,Chiba,,,
茨城県,つくば,筑波,市,つくば,Tsukuba,,,
神奈川県,横浜,横滨,市,よこはま,Yokohama,,,
新潟県,新潟,新潟,市,にいがた,Niigata,,,
富山県,富山,富山,市,とやま,Toyama,,,
石川県,金沢,金泽,市,かなざわ,Kanazawa,,,
福井県,福井,福井,市,ふくい,Fukui,,,
山梨県,甲府,甲府,市,こうふ,Kofu,,,
長野県,長野,长野,市,ながの,Nagano,,,
岐阜県,岐阜,岐阜,市,ぎふ,Gifu,,,
静岡県,静岡,静冈,市,しずおか,Shizuoka,,,
愛知県,名古屋,名古屋,市,なごや,Nagoya,,,
三重県,津,津,市,つ,Tsu,,,
滋賀県,大津,大津,市,おおつ,Otsu,,,
京都府,京都,京都,市,きょうと,Kyoto,,,
大阪府,大阪,大阪,市,おおさか,Osaka,,,
兵庫県,神戸,神户,市,こうべ,Kobe,,,
奈良県,奈良,奈良,市,なら,Nara,,,
和歌山県,和歌山,和歌山,市,わかやま,Wakayama,,,
鳥取県,鳥取,鸟取,市,とっとり,Tottori,,,
島根県,松江,松江,市,まつえ,Matsue,,,
岡山県,岡山,冈山,市,おかやま,Okayama,,,
広島県,広島,广岛,市,ひろしま,Hiroshima,,,
山口県,山口,山口,市,やまぐち,Yamaguchi,,,
徳島県,徳島,德岛,市,とくしま,Tokushima,,,
香川県,高松,高松,市,たかまつ,Takamatsu,,,
愛媛県,松山,松山,市,まつやま,Matuyama,,,
高知県,高知,高知,市,こうち,Kochi,,,
福岡県,福岡,福冈,市,ふくおか,Fukuoka,,,
佐賀県,佐賀,佐贺,市,さが,Saga,,,
長崎県,長崎,长崎,市,ながさき,Nagasaki,,,
熊本県,熊本,熊本,市,くまもと,Kumamoto,,,
大分県,大分,大分,市,おおいた,Oita,,,
宮崎県,宮崎,宫崎,市,みやざき,Miyazaki,,,
鹿児島県,鹿児島,鹿儿岛,市,かごしま,Kagoshima,,,
沖縄県,那覇,那霸,市,なは,Naha,,,
北海道,稚内,稚内,市,わっかない,Wakkanai,,45.3474,141.741
北海道,猿払,猴拂,村,さるふつ,Sarufutsu,,45.2263,141.872
北海道,美深,美深,町,びふか,Bifuka,,44.532,142.278
北海道,安平,安平,町,あびら,Abira,,42.794,141.705
北海道,室蘭,室兰,市,むろらん,Muroran,,42.3683,140.911
北海道,函館,函馆,市,はこだて,Hakodate,,41.8598,140.8
北海道,旭川,旭川,市,あさひかわ,Asahikawa,,43.7504,142.165
北海道,ニセコ,Niseko,町,にせこ,Niseko,,42.7928,140.544
青森県,八戸,八户,市,はちのへ,Hachinohe,,40.5094,141.431
岩手県,奥州,奥州,市,おうしゅう,Oshu,,39.1517,140.798
山形県,酒田,酒田,市,さかた,Sakata,,38.9147,139.836
新潟県,村上,村上,市,むらかみ,Murakami,,38.3076,139.635
福島県,会津若松,会津若松,市,あいづわかまつ,Aizuwakamatsu,,37.5085,139.93
福島県,いわき,磐城,市,いわき,Iwaki,,37.0504,140.888
栃木県,日光,日光,市,にっこう,Nikko,,36.7473,139.622
長野県,松本,松本,市,まつもと,Matsumoto,,36.2309,137.965
千葉県,我孫子,我孙子,市,あびこ,Abiko,,35.8728,140.011
東京都,東京都武蔵野,武藏野,市,とうきょうとむさしの,Musashino,,35.7129,139.564
東京都,東京都千代田,千代田,区,とうきょうとちよだ,"Tokyo,Chiyoda",,35.6869,139.739
東京都,東京都港,港,区,とうきょうとみなと,"Tokyo,Minato",,35.6528,139.71
神奈川県,鎌倉,镰仓,市,かまくら,Kamakura,,35.3296,139.544
山梨県,忍野,忍野,村,おしの,Oshino,,35.4671,138.863
和歌山県,新宮,新宫,市,しんぐう,Shingu,,34.9221,134.537
兵庫県,西宮,西宫,市,にしのみや,Nishinomiya,,34.7381,135.346
大阪府,豊中,丰中,市,とよなか,Toyonaka,,34.7862,135.474
静岡県,浜松,滨松,市,はままつ,Hamamatsu,,34.7036,137.735
東京都,八丈,八丈,町,はちじょう,Hachijo,,33.1030,139.697
東京都,小笠原,小笠原,村,おがさわら,Ogasawara,,24.0276,140.532
高知県,土佐清水,土佐清水,市,とさしみず,Tosashimizu,,32.8289,132.754
熊本県,人吉,人吉,市,ひとよし,Hitoyoshi,,32.1954,130.625
鹿児島県,屋久島,屋久岛,市,やくしま,Yakushima,,30.3482,130.384
鹿児島県,奄美,奄美,市,あまみ,Amami,,28.4764,129.281
沖縄県,宮古島,宫古岛,市,みやこじま,Miyakojima,,24.8462,125.162
沖縄県,石垣,石垣,市,いしがき,Ishigaki,,24.4713,124.065