lat_min,lat_max
24,24.25
24.25,24.5
24.5,24.75
24.75,25
25,25.25
25.25,25.5
25.5,25.75
25.75,26
26,26.25
26.25,26.5
26.5,26.75
26.75,27
27,27.25
27.25,27.5
27.5,27.75
27.75,28
28,28.25
28.25,28.5
28.5,28.75
28.75,29
29,29.25
29.25,29.5
29.5,29.75
29.75,30
30,30.25
30.25,30.5
30.5,30.75
30.75,31
31,31.25
31.25,31.5
31.5,31.75
31.75,32
32,32.25
32.25,32.5
32.5,32.75
32.75,33
33,33.25
33.25,33.5
33.5,33.75
33.75,34
34,34.25
34.25,34.5
34.5,34.75
34.75,35
35,35.25
35.25,35.5
35.5,35.75
35.75,36
36,36.25
36.25,36.5
36.5,36.75
36.75,37
37,37.25
37.25,37.5
37.5,37.75
37.75,38
38,38.25
38.25,38.5
38.5,38.75
38.75,39
39,39.25
39.25,39.5
39.5,39.75
39.75,40
40,40.25
40.25,40.5
40.5,40.75
40.75,41
41,41.25
41.25,41.5
41.5,41.75
41.75,42
42,42.25
42.25,42.5
42.5,42.75
42.75,43
43,43.25
43.25,43.5
43.5,43.75
43.75,44
44,44.25
44.25,44.5
44.5,44.75
44.75,45
45,45.25
45.25,45.5
45.5,45.75
45.75,46
46,46.25
46.25,46.5
46.5,46.75